#Romname;Title;Emulator;Cloneof;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Favourite;Tags;PlayedCount;PlayedTime;FileIsAvailable
gallop;Gallop - Armed Police Unit (Japan, M84 hardware);mame;cosmccop;1991;Irem;Shooter / Flying Horizontal;2P alt;0;joystick (8-way),joystick (8-way);good;1;raster;cosmccop;Cosmic Cop (World);;4;;;0;;1
glpracr;Gallop Racer (English Ver 10.17.K);mame;;1996;Tecmo;Sports / Horse Racing;1P;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;coh1000c;ZN1;;3;;;0;;1
glpracrj;Gallop Racer (Japanese Ver 9.01.12);mame;glpracr;1996;Tecmo;Sports / Horse Racing;1P;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;glpracr;Gallop Racer (English Ver 10.17.K);;3;;;0;;1
glpracr2;Gallop Racer 2 (Export);mame;;1997;Tecmo;Sports / Horse Racing;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;coh1002m;TPS;;3;;;0;;1
glpracr2j;Gallop Racer 2 (Japan);mame;glpracr2;1997;Tecmo;Sports / Horse Racing;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;glpracr2;Gallop Racer 2 (Export);;3;;;0;;1
glpracr2l;Gallop Racer 2 Link HW (Japan);mame;glpracr2;1997;Tecmo;Sports / Horse Racing;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;glpracr2;Gallop Racer 2 (Export);;3;;;0;;1
glpracr3;Gallop Racer 3 (Export);mame;;1999;Tecmo;Sports / Horse Racing;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;coh1002m;TPS;;3;;;0;;1
glpracr3j;Gallop Racer 3 (Japan);mame;glpracr3;1999;Tecmo;Sports / Horse Racing;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;glpracr3;Gallop Racer 3 (Export);;3;;;0;;1
galmedes;Galmedes (Japan);mame;;1992;Visco;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
galhustl;Gals Hustler;mame;pgalvip;1997;ACE International;Sports / Pool;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;pgalvip;Pocket Gals V.I.P (set 1);;3;;;0;;1
galsnew;Gals Panic (Export, EXPRO-02 PCB);mame;;1990;Kaneko;Puzzle / Outline;2P sim;90;joystick (4-way),joystick (4-way);good;1;raster;;;;2;;;0;;1
galsnewj;Gals Panic (Japan, EXPRO-02 PCB);mame;galsnew;1990;Kaneko (Taito license);Puzzle / Outline;2P sim;90;joystick (4-way),joystick (4-way);good;1;raster;galsnew;Gals Panic (Export, EXPRO-02 PCB);;2;;;0;;1
galsnewk;Gals Panic (Korea, EXPRO-02 PCB);mame;galsnew;1990;Kaneko (Inter license);Puzzle / Outline;2P sim;90;joystick (4-way),joystick (4-way);good;1;raster;galsnew;Gals Panic (Export, EXPRO-02 PCB);;2;;;0;;1
galsnewt;Gals Panic (Taiwan, EXPRO-02 PCB);mame;galsnew;1990;Kaneko;Puzzle / Outline;2P sim;90;joystick (4-way),joystick (4-way);good;1;raster;galsnew;Gals Panic (Export, EXPRO-02 PCB);;2;;;0;;1
galpanica;Gals Panic (ULA protected, set 1);mame;galpanic;1990;Kaneko;Puzzle / Outline;2P sim;90;joystick (4-way),joystick (4-way);good;1;raster;galpanic;Gals Panic (unprotected);;2;;;0;;1
galpanicb;Gals Panic (ULA protected, set 2);mame;galpanic;1990;Kaneko;Puzzle / Outline;2P sim;90;joystick (4-way),joystick (4-way);good;1;raster;galpanic;Gals Panic (unprotected);;2;;;0;;1
galpanic;Gals Panic (unprotected);mame;;1990;Kaneko;Puzzle / Outline;2P sim;90;joystick (4-way),joystick (4-way);good;1;raster;;;;2;;;0;;1
galsnewu;Gals Panic (US, EXPRO-02 PCB);mame;galsnew;1990;Kaneko;Puzzle / Outline;2P sim;90;joystick (4-way),joystick (4-way);good;1;raster;galsnew;Gals Panic (Export, EXPRO-02 PCB);;2;;;0;;1
galpani3;Gals Panic 3 (Euro);mame;;1995;Kaneko;Puzzle / Outline;2P sim;90;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;1;;;0;;1
galpani3hk;Gals Panic 3 (Hong Kong);mame;galpani3;1995;Kaneko;Puzzle / Outline;2P sim;90;joystick (8-way),joystick (8-way);imperfect;1;raster;galpani3;Gals Panic 3 (Euro);;1;;;0;;1
galpani3j;Gals Panic 3 (Japan);mame;galpani3;1995;Kaneko;Puzzle / Outline;2P sim;90;joystick (8-way),joystick (8-way);imperfect;1;raster;galpani3;Gals Panic 3 (Euro);;1;;;0;;1
galpani3k;Gals Panic 3 (Korea);mame;galpani3;1995;Kaneko;Puzzle / Outline;2P sim;90;joystick (8-way),joystick (8-way);imperfect;1;raster;galpani3;Gals Panic 3 (Euro);;1;;;0;;1
galpani4;Gals Panic 4 (Europe);mame;;1996;Kaneko;Puzzle / Outline;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;skns;Super Kaneko Nova System BIOS;;2;;;0;;1
galpani4j;Gals Panic 4 (Japan);mame;galpani4;1996;Kaneko;Puzzle / Outline;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;galpani4;Gals Panic 4 (Europe);;2;;;0;;1
galpani4k;Gals Panic 4 (Korea);mame;galpani4;1996;Kaneko;Puzzle / Outline;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;galpani4;Gals Panic 4 (Europe);;2;;;0;;1
galpanidx;Gals Panic DX (Asia);mame;galpani4;2001;Kaneko;Puzzle / Outline;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;galpani4;Gals Panic 4 (Europe);;2;;;0;;1
galpaniex;Gals Panic EX (Korea);mame;galpani4;2000;Kaneko;Puzzle / Outline;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;galpani4;Gals Panic 4 (Europe);;2;;;0;;1
gp2quiz;Gals Panic II - Quiz Version;mame;;1993;Kaneko;Puzzle / Outline;2P sim;90;joystick (8-way),joystick (8-way);preliminary;1;raster;;;;3;;;0;;1
galpani2;Gals Panic II (Asia);mame;;1993;Kaneko;Puzzle / Outline;2P sim;90;joystick (8-way),joystick (8-way);preliminary;1;raster;;;;3;;;0;;1
galpani2e2;Gals Panic II (English, 2 PCB ver.);mame;galpani2;1993;Kaneko;Puzzle / Outline;2P sim;90;joystick (8-way),joystick (8-way);preliminary;1;raster;galpani2;Gals Panic II (Asia);;3;;;0;;1
galpani2e;Gals Panic II (English);mame;galpani2;1993;Kaneko;Puzzle / Outline;2P sim;90;joystick (8-way),joystick (8-way);preliminary;1;raster;galpani2;Gals Panic II (Asia);;3;;;0;;1
galpani2g;Gals Panic II (Germany, 2 PCB ver.);mame;galpani2;1993;Kaneko;Puzzle / Outline;2P sim;90;joystick (8-way),joystick (8-way);preliminary;1;raster;galpani2;Gals Panic II (Asia);;3;;;0;;1
galpani2gs;Gals Panic II (Germany, single PCB);mame;galpani2;1993;Kaneko;Puzzle / Outline;2P sim;90;joystick (8-way),joystick (8-way);preliminary;1;raster;galpani2;Gals Panic II (Asia);;3;;;0;;1
galpani2i2;Gals Panic II (Italy, 2 PCB ver.);mame;galpani2;1993;Kaneko;Puzzle / Outline;2P sim;90;joystick (8-way),joystick (8-way);preliminary;1;raster;galpani2;Gals Panic II (Asia);;3;;;0;;1
galpani2i;Gals Panic II (Italy, single PCB);mame;galpani2;1993;Kaneko;Puzzle / Outline;2P sim;90;joystick (8-way),joystick (8-way);preliminary;1;raster;galpani2;Gals Panic II (Asia);;3;;;0;;1
galpani2j;Gals Panic II (Japan);mame;galpani2;1993;Kaneko;Puzzle / Outline;2P sim;90;joystick (8-way),joystick (8-way);preliminary;1;raster;galpani2;Gals Panic II (Asia);;3;;;0;;1
galpani2k;Gals Panic II (Korea, single PCB);mame;galpani2;1993;Kaneko (Karam Trading Co., Ltd. license);Puzzle / Outline;2P sim;90;joystick (8-way),joystick (8-way);preliminary;1;raster;galpani2;Gals Panic II (Asia);;3;;;0;;1
galpani2t;Gals Panic II (Taiwan, 2 PCB ver.);mame;galpani2;1993;Kaneko;Puzzle / Outline;2P sim;90;joystick (8-way),joystick (8-way);preliminary;1;raster;galpani2;Gals Panic II (Asia);;3;;;0;;1
gp2se;Gals Panic II' - Special Edition (Japan);mame;;1994;Kaneko;Puzzle / Outline;2P sim;90;joystick (8-way),joystick (8-way);preliminary;1;raster;;;;3;;;0;;1
galpanisa;Gals Panic S - Extra Edition (Asia);mame;galpanis;1997;Kaneko;Puzzle / Outline;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;galpanis;Gals Panic S - Extra Edition (Europe, revision 1);;1;;;0;;1
galpanis;Gals Panic S - Extra Edition (Europe, revision 1);mame;;1997;Kaneko;Puzzle / Outline;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;skns;Super Kaneko Nova System BIOS;;1;;;0;;1
galpanise;Gals Panic S - Extra Edition (Europe, set 2);mame;galpanis;1997;Kaneko;Puzzle / Outline;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;galpanis;Gals Panic S - Extra Edition (Europe, revision 1);;1;;;0;;1
galpanisj;Gals Panic S - Extra Edition (Japan, revision 1);mame;galpanis;1997;Kaneko;Puzzle / Outline;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;galpanis;Gals Panic S - Extra Edition (Europe, revision 1);;1;;;0;;1
galpanisk;Gals Panic S - Extra Edition (Korea, revision 1);mame;galpanis;1997;Kaneko;Puzzle / Outline;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;galpanis;Gals Panic S - Extra Edition (Europe, revision 1);;1;;;0;;1
galpaniska;Gals Panic S - Extra Edition (Korea);mame;galpanis;1997;Kaneko;Puzzle / Outline;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;galpanis;Gals Panic S - Extra Edition (Europe, revision 1);;1;;;0;;1
galpans2a;Gals Panic S2 (Asia);mame;galpans2;1999;Kaneko;Puzzle / Outline;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;galpans2;Gals Panic S2 (Europe);;1;;;0;;1
galpans2;Gals Panic S2 (Europe);mame;;1999;Kaneko;Puzzle / Outline;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;skns;Super Kaneko Nova System BIOS;;1;;;0;;1
galpans2j;Gals Panic S2 (Japan);mame;galpans2;1999;Kaneko;Puzzle / Outline;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;galpans2;Gals Panic S2 (Europe);;1;;;0;;1
galpans3;Gals Panic S3 (Japan);mame;;2002;Kaneko;Puzzle / Outline;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;skns;Super Kaneko Nova System BIOS;;1;;;0;;1
galpansu;Gals Panic SU (Korea);mame;galpans2;1999;Kaneko;Puzzle / Outline;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;galpans2;Gals Panic S2 (Europe);;1;;;0;;1
galspnbl;Gals Pinball;mame;;1996;Comad;Arcade / Pinball;1P;90;only_buttons;good;1;raster;;;;4;;;0;;1
gammagic;Game Magic;mame;;1999;Bally Gaming Co.;MultiGame / Compilation;1;0;keyboard;preliminary;1;raster;;;chd;103;;;0;;1
gamecstl;GameCristal;mame;;2002;Cristaltec;MultiGame / Compilation;2P sim;0;mouse,keyboard;preliminary;1;raster;;;chd;108;;;0;;1
kb_ms_natural;Microsoft Natural Keyboard;mame;;;;System / Device;Device;0;keyboard;good;0;;;;;108;;;0;;1
ps2_keybc;PS/2 Keyboard/Mouse Controller;mame;;;;System / Device;Device;0;;good;0;;;;;0;;;0;;1
sis900_eth;SiS 900 Fast Ethernet Adapter;mame;;;;System / Device;Device;0;;good;0;;;;;0;;;0;;1
sis630_gui;SiS 630 GUI;mame;;;;System / Device;Device;0;;good;1;raster;;;;0;;;0;;1
gamecst2;GameCristal (version 2.613);mame;gamecstl;2002;Cristaltec;MultiGame / Compilation;2P sim;0;mouse,keyboard;preliminary;1;raster;gamecstl;GameCristal;chd;108;;;0;;1
gmfamily;Games Family;mame;;200?;bootleg;MultiGame / Compilation;0;0;;preliminary;1;raster;;;chd;0;;;0;;1
usg182;Games V18.2;mame;usgames;1989;U.S. Games;Multiplay / Mini-Games;4P alt;0;only_buttons;good;1;raster;usgames;Games V25.4X;;5;;;0;;1
usg185;Games V18.5;mame;usgames;1990;U.S. Games;Multiplay / Mini-Games;4P alt;0;only_buttons;good;1;raster;usgames;Games V25.4X;;5;;;0;;1
usg187c;Games V18.7C;mame;usgames;1991;U.S. Games;Multiplay / Mini-Games;4P alt;0;only_buttons;good;1;raster;usgames;Games V25.4X;;5;;;0;;1
usg211c;Games V21.1C;mame;usgames;1991;U.S. Games;Multiplay / Mini-Games;1;0;only_buttons;good;1;raster;usgames;Games V25.4X;;5;;;0;;1
usgames;Games V25.4X;mame;;1992;U.S. Games;Multiplay / Mini-Games;4P alt;0;only_buttons;good;1;raster;;;;5;;;0;;1
gamsharaj;Gamshara (Japan, 10021 Ver.A);mame;gamshara;2002;Mitchell;Shooter / 3rd Person;2;0;joystick (8-way),joystick (8-way);preliminary;1;raster;gamshara;Gamshara (World, 10021 Ver.A);;6;;;0;;1
gamshara;Gamshara (World, 10021 Ver.A);mame;;2002;Mitchell;Shooter / 3rd Person;2;0;joystick (8-way),joystick (8-way);preliminary;1;raster;;;;6;;;0;;1
ginkun;Ganbare Ginkun;mame;;1995;Tecmo;Multiplay / Mini-Games;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
ganjaja;Ganbare Jajamaru Saisho wa Goo / Ganbare Jajamaru Hop Step & Jump;mame;;1990;Jaleco;Fighter / Versus;1P;0;joystick (8-way);imperfect;1;raster;;;;0;;;0;;1
gangonta;Ganbare! Gonta!! 2 / Party Time: Gonta the Diver II (Japan Release);mame;prtytime;1995;Mitchell;Puzzle / Outline;1P;90;joystick (8-way),joystick (8-way);good;1;raster;prtytime;Party Time: Gonta the Diver II / Ganbare! Gonta!! 2 (World Release);;3;;;0;;1
ganbare;Ganbare! Marine Kun (Japan 2K0411);mame;;2000;Capcom;Shooter / 3rd Person;1P;0;joystick (2-way);good;1;raster;;;;2;;;0;;1
gbusters;Gang Busters (set 1);mame;;1988;Konami;Shooter / Walking;2P sim;90;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
gbustersa;Gang Busters (set 2);mame;gbusters;1988;Konami;Shooter / Walking;2P sim;90;joystick (8-way),joystick (8-way);good;1;raster;gbusters;Gang Busters (set 1);;2;;;0;;1
ghunter;Gang Hunter / Dead Angle;mame;deadang;1988;Seibu Kaihatsu;Shooter / 1st Person;2P alt;0;joystick (8-way),trackball,joystick (8-way);good;1;raster;deadang;Dead Angle;;2;;;0;;1
ghunters;Gang Hunter / Dead Angle (Spain);mame;deadang;1988;Seibu Kaihatsu (SegaSA / Sonic license);Shooter / 1st Person;2P alt;0;joystick (8-way),trackball,joystick (8-way);good;1;raster;deadang;Dead Angle;;2;;;0;;1
gangwars;Gang Wars;mame;;1989;Alpha Denshi Co.;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;0;;1
gangwarsb;Gang Wars (bootleg);mame;gangwars;1989;bootleg;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;gangwars;Gang Wars;;3;;;0;;1
gangwarsj;Gang Wars (Japan);mame;gangwars;1989;Alpha Denshi Co.;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;gangwars;Gang Wars;;3;;;0;;1
gangwarsu;Gang Wars (US);mame;gangwars;1989;Alpha Denshi Co.;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;gangwars;Gang Wars;;3;;;0;;1
ganryu;Ganryu / Musashi Ganryuki;mame;;1999;Visco;Platform / Fighter Scrolling;2P alt;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;Neo-Geo MV-6F;;4;;;0;;1
gaplusd;Gaplus (GP2 rev D, alternate hardware);mame;gaplus;1984;Namco;Shooter / Gallery;2P alt;90;joystick (8-way),joystick (8-way);imperfect;1;raster;gaplus;Gaplus (GP2 rev. B);;1;;;0;;1
gaplus;Gaplus (GP2 rev. B);mame;;1984;Namco;Shooter / Gallery;2P alt;90;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;1;;;0;;1
gaplusa;Gaplus (GP2);mame;gaplus;1984;Namco;Shooter / Gallery;2P alt;90;joystick (8-way),joystick (8-way);imperfect;1;raster;gaplus;Gaplus (GP2 rev. B);;1;;;0;;1
gaplust;Gaplus (Tecfri PCB);mame;gaplus;1992;bootleg (Tecfri);Shooter / Gallery;2P alt;90;joystick (8-way),joystick (8-way);imperfect;1;raster;gaplus;Gaplus (GP2 rev. B);;1;;;0;;1
gardia;Gardia (317-0006);mame;;1986;Coreland / Sega;Shooter / Flying Vertical;2P alt;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
gardiab;Gardia (317-0007?, bootleg);mame;gardia;1986;bootleg;Shooter / Flying Vertical;2P alt;270;joystick (8-way),joystick (8-way);imperfect;1;raster;gardia;Gardia (317-0006);;2;;;0;;1
gardiaj;Gardia (Japan, 317-0006);mame;gardia;1986;Coreland / Sega;Shooter / Flying Vertical;2P alt;270;joystick (8-way),joystick (8-way);imperfect;1;raster;gardia;Gardia (317-0006);;2;;;0;;1
garoubl;Garou - Mark of the Wolves (bootleg);mame;garou;1999;bootleg;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;garou;Garou - Mark of the Wolves (NGM-2530);;4;;;0;;1
garouha;Garou - Mark of the Wolves (NGH-2530);mame;garou;1999;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;garou;Garou - Mark of the Wolves (NGM-2530);;4;;;0;;1
garouh;Garou - Mark of the Wolves (NGM-2530 ~ NGH-2530);mame;garou;1999;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;garou;Garou - Mark of the Wolves (NGM-2530);;4;;;0;;1
garou;Garou - Mark of the Wolves (NGM-2530);mame;;1999;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;Neo-Geo MV-6F;;4;;;0;;1
garoup;Garou - Mark of the Wolves (prototype);mame;garou;1999;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;garou;Garou - Mark of the Wolves (NGM-2530);;4;;;0;;1
garuka;Garuka (Japan ver. W);mame;devstors;1988;Konami;Shooter / 3rd Person;2P sim;90;joystick (8-way),joystick (8-way);preliminary;1;raster;devstors;Devastators (ver. Z);;2;;;0;;1
garyoret;Garyo Retsuden (Japan);mame;;1987;Data East Corporation;Shooter / Walking;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
gatedoom1;Gate of Doom (US revision 1);mame;darkseal;1990;Data East Corporation;Maze / Fighter;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;darkseal;Dark Seal (World revision 3);;2;;;0;;1
gatedoom;Gate of Doom (US revision 4);mame;darkseal;1990;Data East Corporation;Maze / Fighter;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;darkseal;Dark Seal (World revision 3);;2;;;0;;1
gatsbee;Gatsbee;mame;galaga;1984;hack (Uchida);Shooter / Gallery;2P alt;90;joystick (8-way),joystick (8-way);imperfect;1;raster;galaga;Galaga (Namco rev. B);;1;;;0;;1
gauntlet2pg1;Gauntlet (2 Players, German, rev 1);mame;gauntlet;1985;Atari Games;Maze / Shooter Large;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;gauntlet;Gauntlet (rev 14);;2;;;0;;1
gauntlet2pg;Gauntlet (2 Players, German, rev 4);mame;gauntlet;1985;Atari Games;Maze / Shooter Large;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;gauntlet;Gauntlet (rev 14);;2;;;0;;1
gauntlet2pj2;Gauntlet (2 Players, Japanese, rev 2);mame;gauntlet;1985;Atari Games;Maze / Shooter Large;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;gauntlet;Gauntlet (rev 14);;2;;;0;;1
gauntlet2pj;Gauntlet (2 Players, Japanese, rev 5);mame;gauntlet;1985;Atari Games;Maze / Shooter Large;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;gauntlet;Gauntlet (rev 14);;2;;;0;;1
gauntlet2pr3;Gauntlet (2 Players, rev 3);mame;gauntlet;1985;Atari Games;Maze / Shooter Large;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;gauntlet;Gauntlet (rev 14);;2;;;0;;1
gauntlet2p;Gauntlet (2 Players, rev 6);mame;gauntlet;1985;Atari Games;Maze / Shooter Large;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;gauntlet;Gauntlet (rev 14);;2;;;0;;1
gauntletg;Gauntlet (German, rev 10);mame;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;gauntlet;Gauntlet (rev 14);;2;;;0;;1
gauntletgr3;Gauntlet (German, rev 3);mame;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;gauntlet;Gauntlet (rev 14);;2;;;0;;1
gauntletgr6;Gauntlet (German, rev 6);mame;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;gauntlet;Gauntlet (rev 14);;2;;;0;;1
gauntletgr8;Gauntlet (German, rev 8);mame;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;gauntlet;Gauntlet (rev 14);;2;;;0;;1
gauntletj12;Gauntlet (Japanese, rev 12);mame;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;gauntlet;Gauntlet (rev 14);;2;;;0;;1
gauntletj;Gauntlet (Japanese, rev 13);mame;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;gauntlet;Gauntlet (rev 14);;2;;;0;;1
pc_gntlt;Gauntlet (PlayChoice-10);mame;;1985;Atari / Tengen (Nintendo of America license);Maze / Shooter Large;2P sim;0;joystick (8-way),joystick (8-way);good;2;raster;playch10;PlayChoice-10 BIOS;;2;;;0;;1
gauntletr1;Gauntlet (rev 1);mame;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;gauntlet;Gauntlet (rev 14);;2;;;0;;1
gauntlet;Gauntlet (rev 14);mame;;1985;Atari Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
gauntletr2;Gauntlet (rev 2);mame;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;gauntlet;Gauntlet (rev 14);;2;;;0;;1
gauntletr4;Gauntlet (rev 4);mame;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;gauntlet;Gauntlet (rev 14);;2;;;0;;1
gauntletr5;Gauntlet (rev 5);mame;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;gauntlet;Gauntlet (rev 14);;2;;;0;;1
gauntletr7;Gauntlet (rev 7);mame;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;gauntlet;Gauntlet (rev 14);;2;;;0;;1
gauntletr9;Gauntlet (rev 9);mame;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;gauntlet;Gauntlet (rev 14);;2;;;0;;1
gauntlets;Gauntlet (Spanish, rev 15);mame;gauntlet;1985;Atari Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;gauntlet;Gauntlet (rev 14);;2;;;0;;1
gauntdl24;Gauntlet Dark Legacy (version DL 2.4);mame;gauntdl;1999;Midway Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (analog),joystick (8-way),joystick (analog),joystick (8-way),joystick (analog),joystick (8-way),joystick (analog);good;1;raster;gauntdl;Gauntlet Dark Legacy (version DL 2.52);chd;3;;;0;;1
gauntdl;Gauntlet Dark Legacy (version DL 2.52);mame;;1999;Midway Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (analog),joystick (8-way),joystick (analog),joystick (8-way),joystick (analog),joystick (8-way),joystick (analog);good;1;raster;;;chd;3;;;0;;1
gaunt2;Gauntlet II;mame;;1986;Atari Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
gaunt22pg;Gauntlet II (2 Players, German);mame;gaunt2;1986;Atari Games;Maze / Shooter Large;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;gaunt2;Gauntlet II;;2;;;0;;1
gaunt22p1;Gauntlet II (2 Players, rev 1);mame;gaunt2;1986;Atari Games;Maze / Shooter Large;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;gaunt2;Gauntlet II;;2;;;0;;1
gaunt22p;Gauntlet II (2 Players, rev 2);mame;gaunt2;1986;Atari Games;Maze / Shooter Large;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;gaunt2;Gauntlet II;;2;;;0;;1
gaunt2g;Gauntlet II (German);mame;gaunt2;1986;Atari Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;gaunt2;Gauntlet II;;2;;;0;;1
gauntleg12;Gauntlet Legends (version 1.2);mame;gauntleg;1998;Atari Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (analog),joystick (8-way),joystick (analog),joystick (8-way),joystick (analog),joystick (8-way),joystick (analog);good;1;raster;gauntleg;Gauntlet Legends (version 1.6);chd;3;;;0;;1
gauntleg;Gauntlet Legends (version 1.6);mame;;1998;Atari Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (analog),joystick (8-way),joystick (analog),joystick (8-way),joystick (analog),joystick (8-way),joystick (analog);good;1;raster;;;chd;3;;;0;;1
geebeeb;Gee Bee (Europe);mame;geebee;1978;Namco (F.lli Bertolino license);Ball & Paddle / Breakout;2P alt;90;paddle,paddle;good;1;raster;geebee;Gee Bee (Japan);;1;;;0;;1
geebee;Gee Bee (Japan);mame;;1978;Namco;Ball & Paddle / Breakout;2P alt;90;paddle,paddle;good;1;raster;;;;1;;;0;;1
